,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
178,88300170,2021,2021-01-01 17:44,5.0,3,6,30.48144,-84.31368,INTERSTATE 10,,MILE MARKER 199 EASTBOUND,POINT (-84.31368000000001 30.48144)
179,90115083,2021,2021-04-23 23:43,5.0,2,2,30.431847,-84.349972,BALDWIN PARK DR,1675,,POINT (-84.34997199999999 30.431847)
180,24339366,2021,2021-06-23 10:25,5.0,3,2,30.542182,-84.37207,N MONROE ST,,CARTER TRL,POINT (-84.37206999999999 30.542182)
184,87840004,2018,2018-09-13 23:46,6.0,1,2,30.446251,-84.324297,W TENNESSEE ST,,COLUMBIA DR,POINT (-84.324297 30.446251)
185,87841204,2018,2018-10-23 13:19,6.0,1,1,30.441019,-84.327584,W PENSACOLA ST,,MABRY ST,POINT (-84.327584 30.441019)
186,87841123,2018,2018-10-20 19:20,6.0,1,2,30.434439,-84.319488,JACKSON BLUFF RD,,AUSLEY RD,POINT (-84.31948800000001 30.434439)
188,89142801,2019,2019-07-30 12:17,6.0,1,2,30.452972,-84.334193,W TENNESSEE ST,2614,,POINT (-84.334193 30.452972)
189,89144920,2019,2019-10-13 12:26,6.0,1,1,30.482885,-84.248479,WOODGATE WAY,,REDDENTON DR,POINT (-84.248479 30.482885)
190,88092926,2019,2019-07-26 13:35,6.0,2,2,30.3959614851677,-84.3242262172081,STATE ROAD 263 ( CAPITAL CIR SW),,COUNTY ROAD 2203 (SPRING HILL ROAD),POINT (-84.32422621720811 30.3959614851677)
191,88060370,2019,2019-07-18 23:25,6.0,1,1,30.4793755064613,-84.1926482758167,5132 ILE DE FRANCE DRIVE,,EDENFIELD ROAD,POINT (-84.19264827581669 30.4793755064613)
192,89146331,2019,2019-12-04 11:00,6.0,1,1,30.442582,-84.290814,N COPELAND ST,,W PARK AVE,POINT (-84.290814 30.442582)
193,88027227,2019,2019-07-06 09:00,6.0,1,1,30.4835907717499,-84.0427773372964,INTERSTATE 10 (STATE ROAD 8) 215 MM,,STATE ROAD 59 (GAMBLE ROAD),POINT (-84.0427773372964 30.4835907717499)
194,89144063,2019,2019-09-15 17:03,6.0,1,1,30.469512,-84.361144,HARTSFIELD RD,,CAPITAL CIR NW,POINT (-84.361144 30.469512)
195,89142501,2019,2019-07-16 14:14,6.0,1,1,30.466848,-84.269401,E BRADFORD RD,,RHODES WAY,POINT (-84.269401 30.466848)
196,87270823,2019,2019-04-14 00:48,6.0,1,1,30.3761578065922,-84.2703480852813,STATE ROAD 363 (WOODVILLE HIGHWAY),,SHANNON STREET,POINT (-84.2703480852813 30.3761578065922)
197,89144556,2019,2019-10-01 11:29,6.0,1,1,30.434308,-84.310881,AIRPORT DR,,JACKSON BLUFF RD,POINT (-84.31088099999999 30.434308)
198,89147477,2020,2020-01-23 20:42,6.0,1,1,30.441761,-84.32223,VALENCIA DR,,ESCAMBIA DR,POINT (-84.32223 30.441761)
199,89149261,2020,2020-05-05 14:34,6.0,1,1,30.444747,-84.272556,E TENNESSEE ST,,TERRACE ST,POINT (-84.27255599999999 30.444747)
200,89148830,2020,2020-03-16 16:20,6.0,1,1,30.412682,-84.26372,UNNAMED RD,,E ORANGE AVE,POINT (-84.26372000000001 30.412682)
201,90109855,2020,2020-07-19 03:23,6.0,1,1,30.468245,-84.230527,CAPITAL CIR NE,,MICCOSUKEE RD,POINT (-84.230527 30.468245)
202,90111091,2020,2020-09-25 00:12,6.0,1,1,30.434392,-84.309947,JACKSON BLUFF RD,,PRINCE ST,POINT (-84.30994699999999 30.434392)
203,90111959,2020,2020-11-06 17:29,6.0,1,1,30.425347,-84.294184,PASCO ST,1810,,POINT (-84.294184 30.425347)
204,89299763,2020,2020-10-31 20:10,6.0,1,2,30.481591,-84.12848,QUEEN ANNA DR,8343,SHENANDOAH DR,POINT (-84.12848 30.481591)
205,88284217,2020,2020-12-13 13:20,6.0,1,1,30.30283658284,-84.4216924461897,STATE ROAD 267 (BLOXHAM CUTOFF),,HELEN GUARD STATION RD,POINT (-84.4216924461897 30.30283658284)
206,89147477,2020,2020-01-23 20:42,6.0,1,1,30.441761,-84.32223,VALENCIA DR,,ESCAMBIA DR,POINT (-84.32223 30.441761)
207,88276854,2021,2021-03-27 20:15,6.0,1,1,30.3808182778673,-84.2787320465063,WATER OAK DRIVE,,TALL OAK DRIVE,POINT (-84.27873204650631 30.3808182778673)
208,24338993,2021,2021-03-01 13:38,6.0,1,1,30.436529,-84.375656,SUNBEAM LN,1730,BLOUNTSTOWN HWY,POINT (-84.37565600000001 30.436529)
210,85576965,2018,2018-01-05 16:10,7.0,1,4,30.4986900184304,-84.1826074104756,INTERSTATE 10,,MILE MARKER 207,POINT (-84.1826074104756 30.4986900184304)
213,87841945,2018,2018-11-12 19:04,7.0,3,4,30.375989,-84.293969,CAPITAL CIR SW,,ORCHID DR,POINT (-84.293969 30.375989)
215,89298138,2019,2019-10-07 20:18,7.0,1,1,30.465676,-84.397242,W TENNESSEE ST,,MOORE SANDY TRL,POINT (-84.39724200000001 30.465676)
216,89144519,2019,2019-10-01 13:06,7.0,1,1,30.412571,-84.323977,W LAKE BRADFORD RD,,S LAKE BRADFORD RD,POINT (-84.323977 30.412571)
217,89144989,2019,2019-10-15 16:18,7.0,1,1,30.457219,-84.271868,E 7TH AVE,,COLONIAL DR,POINT (-84.271868 30.457219)
218,89146719,2019,2019-12-18 13:41,7.0,1,3,30.458522,-84.232588,MAHAN DR,,MITCHAM DR,POINT (-84.23258800000001 30.458522)
219,89140359,2019,2019-04-19 09:39,7.0,1,1,30.42843,-84.210289,APALACHEE PKWY,,SOUTHWOOD PLANTATION RD,POINT (-84.210289 30.42843)
220,89139978,2019,2019-04-06 12:30,7.0,1,1,30.419979,-84.270012,E MAGNOLIA DR,,COUNTRY CLUB DR,POINT (-84.27001199999999 30.419979)
221,89142250,2019,2019-07-05 16:43,7.0,1,2,30.412546,-84.326188,W LAKE BRADFORD RD,,S LAKE BRADFORD RD,POINT (-84.326188 30.412546)
222,89147820,2020,2020-02-06 17:37,7.0,1,2,30.441031,-84.325977,W PENSACOLA ST,,PENSACOLA ST W,POINT (-84.32597699999999 30.441031)
223,89149502,2020,2020-05-26 19:28,7.0,1,1,30.427793,-84.248952,OLD SAINT AUGUSTINE RD,,BLAIR STONE RD,POINT (-84.248952 30.427793)
224,89299110,2020,2020-04-15 10:22,7.0,1,0,30.517378,-84.277467,N MERIDIAN RD,,MEADOW WOOD CT,POINT (-84.277467 30.517378)
225,89144989,2019,2019-10-15 16:18,7.0,1,1,30.457219,-84.271868,E 7TH AVE,,COLONIAL DR,POINT (-84.271868 30.457219)
226,88190998,2020,2020-07-19 16:21,7.0,2,4,30.4795825716521,-84.0578701411242,INTERSTATE 10 (SR8),,STATE ROAD 59,POINT (-84.0578701411242 30.4795825716521)
227,89299481,2020,2020-08-22 12:50,7.0,1,1,30.492669,-84.214416,CENTERVILLE RD,,HARPERS FERRY DR,POINT (-84.214416 30.492669)
228,89299490,2020,2020-08-24 16:32,7.0,2,2,30.583766,-84.245578,BANNERMAN RD,,SABLE CHASE DR,POINT (-84.24557799999999 30.583766)
229,90109374,2020,2020-06-17 14:19,7.0,3,6,30.490005,-84.240883,CAPITAL CIR NE,,N POINT BLVD,POINT (-84.240883 30.490005)
230,89299699,2020,2020-10-13 14:30,7.0,2,5,30.403537,-84.308641,SPRINGHILL RD,,SPRINIL RD,POINT (-84.30864099999999 30.403537)
231,90111065,2020,2020-09-24 11:08,7.0,1,2,30.469229,-84.313206,HIGH RD,,MYRICK RD,POINT (-84.31320599999999 30.469229)
232,89148820,2020,2020-03-15 20:32,7.0,1,2,30.457426,-84.262899,N MAGNOLIA DR,,E 7TH AVE,POINT (-84.262899 30.457426)
233,24338984,2021,2021-02-27 12:25,7.0,1,2,30.43794,-84.346602,W PENSACOLA ST,,NINA RD,POINT (-84.346602 30.43794)
234,24338925,2021,2021-01-31 13:22,7.0,2,2,30.44163,-84.431021,BLOUNTSTOWN HWY,9159,,POINT (-84.431021 30.44163)
235,87183064,2018,2018-04-27 18:17,8.0,1,1,30.52868,-84.3884,TOWER ROAD,,RIVERS LANDING DRIVE,POINT (-84.3884 30.52868)
236,87126113,2018,2018-05-17 15:22,8.0,1,2,30.6794509571046,-84.1553140059113,US-319,,SUNNY HILL ROAD,POINT (-84.15531400591129 30.6794509571046)
238,87838866,2018,2018-08-02 10:40,8.0,1,1,30.427494,-84.24858,OLD SAINT AUGUSTINE RD,,BLAIR STONE RD,POINT (-84.24858 30.427494)
241,87842549,2018,2018-12-03 04:45,8.0,1,1,30.574831,-84.275984,N MERIDIAN RD,,SUMMERBROOKE DR,POINT (-84.27598399999999 30.574831)
244,87843232,2018,2018-12-28 14:44,8.0,1,1,30.502322,-84.252863,RAMP FROM CAPITAL CIR NE TO I-10 W,,CAPITAL CIR NE,POINT (-84.252863 30.502322)
245,89297524,2019,2019-07-07 15:56,8.0,1,1,30.547971,-84.376442,N MONROE ST,,FAMILY TREE DR,POINT (-84.376442 30.547971)
246,89298144,2019,2019-10-02 06:45,8.0,1,1,30.618582,-84.252764,BULL HEADLEY RD,10156,,POINT (-84.252764 30.618582)
247,89298047,2019,2019-09-21 07:15,8.0,1,1,30.402854,-84.612244,WAINWRIGHT RD,4135,,POINT (-84.612244 30.402854)
248,89298511,2019,2019-12-08 18:18,8.0,1,2,30.455396,-84.483099,COE LANDING RD,,COES BLF,POINT (-84.483099 30.455396)
249,89298652,2020,2020-01-03 06:00,8.0,1,1,30.508933,-84.30165,LAKESHORE DR,3402,,POINT (-84.30165 30.508933)
250,88181395,2020,2020-09-13 18:30,8.0,1,1,30.48585,-84.15906,INTERSTATE 10 EXIT 209A,,US-90,POINT (-84.15906 30.48585)
251,88276805,2020,2020-06-07 12:00,8.0,1,1,30.5025153184242,-84.2525321051088,INTERSTATE 10 (STATE ROAD 8) WB ENT RAMP,,US HIGHWAY 319 (STATE ROAD 61),POINT (-84.2525321051088 30.5025153184242)
252,89299064,2020,2020-03-22 08:55,8.0,1,1,30.528647,-84.389498,TOWER RD,6991,,POINT (-84.389498 30.528647)
253,89298511,2019,2019-12-08 18:18,8.0,1,2,30.455396,-84.483099,COE LANDING RD,,COES BLF,POINT (-84.483099 30.455396)
254,89299898,2020,2020-12-09 08:15,8.0,1,1,30.579333,-84.238218,BANNERMAN RD,,REYNOLDS DR,POINT (-84.238218 30.579333)
255,89299446,2020,2020-08-14 19:50,8.0,1,1,30.677187,-84.258837,MERIDIAN RD N,,GAINEY RD,POINT (-84.258837 30.677187)
256,88349817,2021,2021-02-15 18:30,8.0,1,4,30.48561,-84.29766,INTERSTATE 10 MM200 WB,,STATE ROAD 63,POINT (-84.29765999999999 30.48561)
257,90113626,2021,2021-02-08 14:58,8.0,1,1,30.437765,-84.327539,BELLE VUE WAY,,HERTY ST,POINT (-84.327539 30.437765)
258,85441342,2018,2018-02-14 07:50,9.0,2,2,30.49755,-84.26714,INTERSTATE 10 EB (SR-8),,STATE ROAD 61,POINT (-84.26714 30.49755)
259,87126065,2018,2018-01-05 20:50,9.0,1,1,30.5945,-84.2879,ORCHARD POND RD,,MERIDIAN ROAD,POINT (-84.28789999999999 30.5945)
260,86964240,2018,2018-01-23 14:01,9.0,1,1,30.443707,-84.21685,EASTERWOOD DR,,EASTERWOOD LN,POINT (-84.21684999999999 30.443707)
261,86965616,2018,2018-03-13 00:00,9.0,1,1,30.438976,-84.261932,MAGNOLIA DR S,346,,POINT (-84.261932 30.438976)
262,87126071,2018,2018-02-02 22:50,9.0,1,0,30.520915389061,-84.374590376392,TALL PINE DR,,LUMBERJACK LANE,POINT (-84.37459037639201 30.520915389061)
263,87126070,2018,2018-02-02 21:40,9.0,1,1,30.4946669563651,-84.2778954003006,LAKE SHORE DRIVE EAST,,MERIDIAN ROAD,POINT (-84.27789540030059 30.4946669563651)
264,85431743,2018,2018-02-11 14:10,9.0,2,3,30.47797,-84.0744,INTERSTATE 10 WB (SR-8),,COUNTY ROAD-1541 (BAUM RD),POINT (-84.0744 30.47797)
265,87126078,2018,2018-02-15 21:15,9.0,1,1,30.5289272312075,-84.358648667112,US-27,,RED AND SAMS LANE,POINT (-84.35864866711201 30.5289272312075)
266,85535065,2018,2018-03-16 02:45,9.0,1,0,30.41308,-84.07757,US-27 (SR20),,CAP TRAM ROAD,POINT (-84.07756999999999 30.41308)
267,87126079,2018,2018-02-26 12:40,9.0,1,2,30.5156288389117,-84.1335871070623,MICCOSUKEE RD,,ARGYLE LANE,POINT (-84.1335871070623 30.5156288389117)
268,87126086,2018,2018-03-17 15:45,9.0,1,1,30.47802,-84.09114,INTERSTATE 10,,MM 213 EB,POINT (-84.09114 30.47802)
269,87126084,2018,2018-03-12 18:35,9.0,1,1,30.37489,-84.12558,W W KELLY ROAD,,WILLIAMS ROAD,POINT (-84.12558 30.37489)
270,87126087,2018,2018-03-18 16:05,9.0,1,1,30.28679,-84.15897,OLD PLANK RD,,REGIMENT LOOP,POINT (-84.15897 30.28679)
271,87164927,2018,2018-03-22 22:00,9.0,1,1,30.4986148327589,-84.2071756068617,INTERSTATE 10,,MILE MARKER 205 WESTBOUND,POINT (-84.2071756068617 30.4986148327589)
272,86965744,2018,2018-03-21 16:45,9.0,1,1,30.452469,-84.337333,W TENNESSEE ST,2675,,POINT (-84.337333 30.452469)
273,87836292,2018,2018-04-17 18:00,9.0,1,1,30.476889,-84.312384,OLD BAINBRIDGE RD,,STONE RD,POINT (-84.31238399999999 30.476889)
275,87193750,2018,2018-03-10 16:05,9.0,1,1,30.4109937697649,-84.1323987208307,COUNTY ROAD 2196,,SOUTH HAMPTON ROAD,POINT (-84.13239872083069 30.4109937697649)
276,87126097,2018,2018-04-15 16:50,9.0,1,1,30.46353,-84.13812,BUCK LAKE RD,,HILL N DALE DRIVE,POINT (-84.13812 30.46353)
277,87126096,2018,2018-04-15 08:43,9.0,1,1,30.4913,-84.28225,INTERSTATE 10 MM 201 EASTBOUND,,US-319,POINT (-84.28225 30.4913)
278,85563511,2018,2018-05-19 20:15,9.0,1,3,30.49946,-84.21803,INTERSTATE 10 WB,,CENTERVILLE RD,POINT (-84.21803 30.49946)
280,87126109,2018,2018-05-08 10:25,9.0,1,1,30.4132750723511,-84.0826270636171,US-27,,CAP TRAM ROAD,POINT (-84.0826270636171 30.4132750723511)
281,87126089,2018,2018-04-01 03:00,9.0,1,1,30.5260415095836,-84.0099402051419,US-90,,EGART MARSH ROAD,POINT (-84.0099402051419 30.5260415095836)
282,87836605,2018,2018-04-29 01:52,9.0,1,1,30.447866,-84.317338,OCALA RD,552,,POINT (-84.31733800000001 30.447866)
283,87164937,2018,2018-04-30 22:05,9.0,1,1,30.4830488841981,-84.3794398102909,INTERSTATE 10,,MILE MARKER 195 EASTBOUND,POINT (-84.3794398102909 30.4830488841981)
284,87837311,2018,2018-05-28 04:55,9.0,1,1,30.490062,-84.255003,THOMASVILLE RD,,LEEWOOD DR,POINT (-84.255003 30.490062)
285,87126075,2018,2018-02-12 04:16,9.0,1,1,30.54598,-84.21036,VELDA DAIRY ROAD,,TIZA TRAIL,POINT (-84.21035999999999 30.54598)
288,87126117,2018,2018-05-25 17:36,9.0,1,1,30.4841485060751,-84.302934827283,INTERSTATE 10 (STATE ROAD 8) MM199 EB,,US-27,POINT (-84.302934827283 30.4841485060751)
289,85563512,2018,2018-05-20 16:20,9.0,1,1,30.381589801982,-84.2367298621684,UNITED STATES HIGHWAY 319 SB,,TRAM ROAD,POINT (-84.2367298621684 30.381589801982)
291,87126118,2018,2018-05-27 17:37,9.0,1,1,30.47949,-84.36333,INTERSTATE 10 EB MM196,,STATE ROAD 263,POINT (-84.36333 30.47949)
292,87126120,2018,2018-05-28 17:15,9.0,1,1,30.40447,-84.11089,GOODWIN DR,,MATT WING ROAD,POINT (-84.11089 30.40447)
294,87193775,2018,2018-05-29 10:55,9.0,2,2,30.5019479803741,-84.2348993383348,INTERSTATE-10 (MILE MARKER 203 WEST BOUND),,UNITED STATES-319,POINT (-84.2348993383348 30.5019479803741)
295,87126114,2018,2018-05-21 14:02,9.0,1,2,30.4842919204384,-84.3017053697258,INTERSTATE 10 MILE MARKER 199 EASTBOUND,,US-27,POINT (-84.30170536972579 30.4842919204384)
297,85605917,2018,2018-06-17 02:00,9.0,1,1,30.4401825740933,-84.4895082805306,STATE ROAD 20,,KRIS KEV TRL,POINT (-84.4895082805306 30.4401825740933)
298,87126126,2018,2018-06-14 15:33,9.0,1,1,30.48561,-84.29766,INTERSTATE 10 WESTBOUND,,MILE MARKER 200,POINT (-84.29765999999999 30.48561)
299,87838255,2018,2018-07-06 19:48,9.0,1,1,30.421938,-84.352345,SW CAPITAL CIR,1690,,POINT (-84.352345 30.421938)
300,87249885,2018,2018-06-28 19:02,9.0,2,3,30.47827,-84.32999,INTERSTATE 10 EB MM198,,US-27,POINT (-84.32999 30.47827)
301,87838347,2018,2018-07-11 08:55,9.0,1,1,30.528722,-84.202453,OBRIEN DR,3108,,POINT (-84.20245300000001 30.528722)
302,87126123,2018,2018-06-08 21:12,9.0,1,1,30.48381,-84.15652,INTERSTATE 10 WESTBOUND,,MILE MARKER 209 A EXIT RAMP,POINT (-84.15652 30.48381)
305,87838769,2018,2018-07-30 12:26,9.0,2,2,30.428429,-84.219871,APALACHEE PKWY,3310,,POINT (-84.219871 30.428429)
306,85605923,2018,2018-07-28 19:40,9.0,1,1,30.47827,-84.32999,INTERSTATE 10 EB,,UNTED STATES HIGHWAY 27,POINT (-84.32999 30.47827)
307,87249891,2018,2018-07-22 19:54,9.0,1,1,30.50174,-84.25136,INTERSTATE 10 MILE MARKER 203 WB,,US-319 (SATE ROAD 261),POINT (-84.25136000000001 30.50174)
309,87840032,2018,2018-09-14 18:20,9.0,1,1,30.463711,-84.298137,W THARPE ST,,OLD BAINBRIDGE RD,POINT (-84.298137 30.463711)
310,87249896,2018,2018-09-05 05:05,9.0,1,1,30.51726,-84.35622,OLD BAINBRIDGE RD,,CAMDEN ROAD,POINT (-84.35621999999999 30.51726)
311,87249895,2018,2018-08-30 23:40,9.0,1,1,30.42127,-84.16398,US-27,,RAYMOND TUCKER RD,POINT (-84.16398 30.42127)
314,87839829,2018,2018-09-07 14:22,9.0,2,2,30.43873,-84.280482,E PENSACOLA ST,,S MONROE ST,POINT (-84.28048200000001 30.43873)
315,87840132,2018,2018-09-18 06:00,9.0,1,1,30.412389,-84.328146,W ORANGE AVE,2741,PAUL DIRAC DR,POINT (-84.328146 30.412389)
316,87839653,2018,2018-09-01 13:20,9.0,1,1,30.424416,-84.352716,CAPITAL CIR SW,,CASCADE DR,POINT (-84.352716 30.424416)
317,87840568,2018,2018-10-02 10:06,9.0,2,1,30.46109,-84.260801,CENTERVILLE RD,1535,,POINT (-84.260801 30.46109)
318,87840917,2018,2018-10-15 08:42,9.0,1,1,30.515742,-84.22932,FORSYTHE WAY,,MUNDON WAY,POINT (-84.22932 30.515742)
319,87842392,2018,2018-11-29 09:18,9.0,1,1,30.499981,-84.150859,MILES JOHNSON RD,,SARAWOOD LN,POINT (-84.150859 30.499981)
320,87193813,2018,2018-11-02 12:30,9.0,1,1,30.4992420761017,-84.2171244631567,INTERSTATE 10 (STATE ROAD-8) (MM205 EB),,UNITED STATES-319,POINT (-84.21712446315669 30.4992420761017)
321,87193812,2018,2018-11-02 11:00,9.0,1,1,30.4830171503562,-84.3055766614337,INTERSTATE 10 (STATE ROAD-8) MM199 EB,,UNITED STATES-27,POINT (-84.3055766614337 30.4830171503562)
323,87841880,2018,2018-11-10 16:03,9.0,1,1,30.422797,-84.262247,S MAGNOLIA DR,,HEMLOCK DR,POINT (-84.262247 30.422797)
324,87842334,2018,2018-11-26 19:32,9.0,1,1,30.420984,-84.263957,JIM LEE RD,,S MAGNOLIA DR,POINT (-84.263957 30.420984)
325,87843007,2018,2018-12-18 14:25,9.0,1,1,30.405279,-84.270136,PAUL RUSSELL RD,,ZILLAH ST,POINT (-84.27013599999999 30.405279)
326,87249907,2018,2018-12-03 00:50,9.0,1,1,30.50174,-84.25136,INTERSTATE 10 WESTBOUND,,MILE MARKER 203,POINT (-84.25136000000001 30.50174)
327,87193818,2018,2018-12-01 19:30,9.0,1,1,30.4808813491014,-84.3110349763785,INTERSTATE 10 MM199 EB EXIT RAMP,,UNITED STATES-27,POINT (-84.31103497637849 30.4808813491014)
328,87842532,2018,2018-12-02 15:50,9.0,1,1,30.455063,-84.342868,W TENNESSEE ST,2769,,POINT (-84.342868 30.455063)
329,87842545,2018,2018-12-03 00:52,9.0,1,1,30.432544,-84.249859,APALACHEE PKWY,1730,BLAIR STONE RD,POINT (-84.249859 30.432544)
330,87249914,2018,2018-12-21 00:35,9.0,1,1,30.5065802095167,-84.1243895145986,CRUMP RD,,FOXWOOD DRIVE,POINT (-84.1243895145986 30.5065802095167)
331,87249909,2018,2018-12-07 22:45,9.0,1,1,30.4131910078246,-84.0822468473721,US-27 (APALACHEE PKWY),,CAPP TRAM ROAD,POINT (-84.0822468473721 30.4131910078246)
332,87249910,2018,2018-12-08 23:40,9.0,1,1,30.4285987709802,-84.2055255449919,US-27,,TWIN LAKES CIRCLE,POINT (-84.2055255449919 30.4285987709802)
333,87249911,2018,2018-12-16 19:56,9.0,1,2,30.34238,-84.25557,STATE ROAD 363 (WOODVILLE HWY),,OLD WOODVILLE HWY,POINT (-84.25557000000001 30.34238)
334,87126068,2018,2018-01-24 18:08,9.0,1,2,30.34068,-84.69075,SMITH CREEK RD,,STOUTAMIRE LANDING ROAD,POINT (-84.69074999999999 30.34068)
336,87843231,2018,2018-12-28 14:19,9.0,1,1,30.445241,-84.252764,INGLEWOOD DR,301,VALLEY RD,POINT (-84.252764 30.445241)
337,87841584,2018,2018-11-01 17:37,9.0,1,1,30.449048,-84.289401,W BREVARD ST,,N MACOMB ST,POINT (-84.289401 30.449048)
338,87249901,2018,2018-10-31 11:40,9.0,1,1,30.49251,-84.36141,STATE ROAD 263 (CAPITAL CIR NW),,DON HUNTER ROAD,POINT (-84.36141000000001 30.49251)
339,87275033,2019,2019-01-01 19:15,9.0,2,3,30.4587591432821,-84.3616442856778,US HIGHWAY 90 (STATE ROAD 10),,STATE ROAD 263 (CAPITAL CIRLCE NW),POINT (-84.3616442856778 30.4587591432821)
340,88056955,2019,2019-03-18 14:25,9.0,1,1,30.4868862653904,-84.29507418847,INTERSTATE-10 (STATE ROAD-8) MM199 WB,,UNITED STATES-27,POINT (-84.29507418847 30.4868862653904)
341,87844247,2019,2019-02-07 13:39,9.0,1,1,30.477449,-84.238147,CENTERVILLE RD,,CAPITAL CIR NE,POINT (-84.238147 30.477449)
342,88009346,2019,2019-02-23 12:36,9.0,2,3,30.4782727120495,-84.0909790873801,INTERSTATE 10 (STATE ROAD 8) MM212 WB,,BAUM ROAD,POINT (-84.09097908738011 30.4782727120495)
343,87844325,2019,2019-02-08 12:58,9.0,1,3,30.445448,-84.310302,CHAPEL DR,,WESTRIDGE DR,POINT (-84.31030199999999 30.445448)
344,87249937,2019,2019-05-02 14:13,9.0,1,2,30.48494,-84.39611,INTERSTATE 10 EASTBOUND,,MILE MARKER 194,POINT (-84.39610999999999 30.48494)
345,87249930,2019,2019-03-25 18:05,9.0,1,1,30.41073,-84.24397,PAUL RUSSEL ROAD,,MONDAY ROAD,POINT (-84.24397 30.41073)
346,87845181,2019,2019-03-13 14:00,9.0,1,1,30.471804,-84.310501,OLD BAINBRIDGE RD,,MYRICK RD,POINT (-84.310501 30.471804)
347,89140926,2019,2019-05-08 11:14,9.0,2,2,30.427871,-84.222791,APALACHEE PKWY,3210,,POINT (-84.222791 30.427871)
348,88092924,2019,2019-07-23 08:25,9.0,1,1,30.50174,-84.25136,INTERSTATE 10 (STATE ROAD 8) 203 WB EXIT RAMP,,THOMASVILLE ROAD,POINT (-84.25136000000001 30.50174)
349,89146851,2019,2019-12-24 10:46,9.0,2,1,30.436771,-84.263063,APALACHEE PKWY,1243,,POINT (-84.263063 30.436771)
350,88056999,2019,2019-07-23 11:15,9.0,1,1,30.4873669751601,-84.2925600059998,INTERSTATE-10(STATE ROAD-8) MM200 EB,,UNITED STATES-27,POINT (-84.2925600059998 30.4873669751601)
352,88098355,2019,2019-05-22 14:45,9.0,1,3,30.4848497904479,-84.3943135286265,INTERSTATE 10 (S.R. 8),,REST AREA ENTRANCE RAMP,POINT (-84.3943135286265 30.4848497904479)
353,89144405,2019,2019-09-27 14:38,9.0,1,1,30.446505,-84.337799,APPLEYARD DR,,THE LANDING AT APPLEYARD,POINT (-84.337799 30.446505)
354,89142148,2019,2019-07-01 22:10,9.0,1,2,30.468457,-84.305675,RAA AVE,,OLD BAINBRIDGE RD,POINT (-84.30567499999999 30.468457)
355,88074478,2019,2019-04-09 15:32,9.0,1,1,30.492374420166,-84.3242340087891,UNITED STATES HIGHWAY 27,,TALPECO ROAD,POINT (-84.32423400878911 30.492374420166)
356,82014362,2019,2019-06-07 11:10,9.0,1,3,30.4868697622281,-84.1592081577193,INTERSTATE 10 WESTBOUND (209 A EXIT RAMP),,U.S. HIGHWAY 90,POINT (-84.15920815771931 30.4868697622281)
357,88163272,2019,2019-07-28 17:55,9.0,1,1,30.377071916573,-84.2991117728416,STATE ROAD 263 (CAPITAL CIR SW),,SOUTHERN DRIVE,POINT (-84.2991117728416 30.377071916573)
358,89297482,2019,2019-05-31 22:00,9.0,1,1,30.412374,-84.264106,E ORANGE AVE,,JIM LEE RD,POINT (-84.264106 30.412374)
359,87845313,2019,2019-03-18 16:25,9.0,1,1,30.422756,-84.22714,CAPITAL CIR SE,,ADKINS FOREST LN,POINT (-84.22714000000001 30.422756)
360,88056989,2019,2019-06-19 09:25,9.0,1,2,30.4820062945539,-84.3761854837399,INTERSTATE-10 (STATE ROAD-8) MM195 EB,,STATE ROAD-263,POINT (-84.3761854837399 30.4820062945539)
361,87292189,2019,2019-04-05 16:37,9.0,1,1,30.4783733239897,-84.3481184974322,INTERSTATE 10 WESTBOUND 196 MM,,STATE ROAD 263,POINT (-84.3481184974322 30.4783733239897)
362,87249939,2019,2019-05-12 14:35,9.0,1,5,30.48381,-84.15652,INTERSTATE 10 209 EASTBOUND EXIT RAMP,,US-90,POINT (-84.15652 30.48381)
363,89145031,2019,2019-10-16 18:45,9.0,1,1,30.44912,-84.309709,W TENNESSEE ST,,CALIARK ST,POINT (-84.309709 30.44912)
364,87844848,2019,2019-03-01 14:01,9.0,1,2,30.444708,-84.250456,N BLAIR STONE RD,,PARK AVE E,POINT (-84.250456 30.444708)
365,87292190,2019,2019-04-05 17:43,9.0,2,2,30.47814,-84.34673,INTERSTATE 10 EB 197 MM,,OLD BAINBRIDGE ROAD,POINT (-84.34672999999999 30.47814)
366,87249945,2019,2019-05-30 04:30,9.0,1,1,30.33197,-84.32577,US-319 (CRAWFORDVILLE RD),,OAK RIDGE ROAD,POINT (-84.32577000000001 30.33197)
367,89141796,2019,2019-06-15 13:46,9.0,1,2,30.429776,-84.243523,N PAUL RUSSELL RD,,APALACHEE PKWY,POINT (-84.243523 30.429776)
368,89143101,2019,2019-08-12 06:30,9.0,1,1,30.495726,-84.260051,LIVE OAK PLANTATION RD,,TIMBERLANE SCHOOL RD,POINT (-84.260051 30.495726)
369,89140170,2019,2019-04-12 07:24,9.0,1,1,30.459164,-84.361877,NW CAPITAL CIR,5000,,POINT (-84.36187700000001 30.459164)
370,89143124,2019,2019-08-12 19:00,9.0,1,1,30.473433,-84.348929,COMMONWEALTH BLVD,,HARTSFIELD RD,POINT (-84.348929 30.473433)
